site,a,b,Biofilm,Salinity
s1,13,13,absent,saline
s2,6,14,Present,freshwater
s3,11,16,absent,saline
s4,10,19,present,freshwater
s5,11,13,present,freshwater
s6,12,18,present,freshwater
s7,10,19,absent,saline
s8,7,16,absent,saline
s9,11,16,absent,saline
s10,12,11,absent,estuarine
s11,12,13,present,freshwater
s12,9,12,absent,estuarine
s13,11,16,present,estuarine
s14,10,14,absent,estuarine
s15,11,17,absent,estuarine
s16,8,15,present,freshwater
s17,11,17,absent,saline
s18,10,21,present,estuarine
s19,9,14,present,freshwater
s20,7,17,present,freshwater
s21,11,19,present,freshwater
s22,12,13,absent,freshwater
s23,11,16,present,estuarine
s24,14,12,present,estuarine
s25,11,13,present,freshwater
