,full,dry,sherry,big,light,smooth,clean,fruit,grass,smoke,sweet,spice,oil,salt,arome
Aberfeldy,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Aberlour,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
Ardberg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ardmore,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Auchentosh,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Aultmore,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Balblair,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Balmenach,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Balvenie,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Banff,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Ben Nevis,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Benriach,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Benrinnes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benromach,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0
Bladnoch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blair Atho,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
Bowmore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Brackla,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Bruichladd,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
Bunnahabha,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Caol Ila,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Caperdonic,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Cardhu,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Clynelish,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Coleburn,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
Convalmore,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
Cragganmor,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Craigellac,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dailuaine,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Dallas Dhu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Dalmore,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Dalwhinnie,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
Deanston,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dufftown,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Edradour,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
