,AROMA,PEAT,SWEET,LIGHT,FRESH,DRY,FRUIT,GRASS,SEA,SHERRY,SPICY,RICH,
Aberfeldy,1,1,0,0,0,0,1,0,0,0,0,0,
Aberlour,0,0,1,0,0,0,0,0,0,0,0,1,
Ardberg,0,1,0,0,0,1,0,0,1,0,0,0,
Ardmore,0,0,1,0,0,0,0,1,0,1,0,0,
Auchentosh,0,0,0,0,1,0,1,1,0,0,0,0,
Aultmore,1,0,0,0,1,0,0,0,0,0,0,0,
Balblair,0,0,0,0,1,0,1,0,0,0,0,0,
Balmenach,1,1,1,0,0,0,1,1,0,0,0,0,
Balvenie,1,0,0,0,0,0,1,0,0,0,0,0,
Banff,1,1,0,0,0,0,0,0,0,0,0,0,
Ben Nevis,0,0,0,0,0,0,1,1,0,0,0,0,
Benriach,1,0,0,0,0,0,0,1,0,0,0,0,
Benrinnes,1,1,0,0,0,0,0,0,0,0,0,0,
Benromach,1,1,0,0,0,1,0,1,0,0,0,0,
Bladnoch,0,0,0,0,0,0,1,1,0,0,0,0,
Blair Atho,0,0,0,0,1,0,0,0,0,0,1,0,
Bowmore,0,1,0,0,0,1,0,1,1,0,0,0,
Brackla,0,1,1,0,0,0,0,0,0,0,0,0,
Bruichladd,0,0,0,1,0,0,0,0,0,0,0,0,
Bunnahabha,0,0,0,0,1,0,0,0,1,0,0,0,
Caol Ila,0,1,0,0,0,0,1,0,1,0,0,0,
Caperdonic,1,1,0,0,0,0,0,0,0,0,0,0,
Cardhu,1,1,0,1,0,0,0,0,0,0,0,0,
Clynelish,0,0,0,0,0,0,0,0,1,0,0,0,
Coleburn,0,0,0,0,0,1,1,1,0,0,0,0,
Convalmore,0,0,1,0,0,0,0,0,0,0,0,0,
Cragganmor,1,0,1,0,0,0,0,1,0,0,0,1,
Craigellac,1,1,1,0,0,1,1,0,0,0,0,0,
Dailuaine,1,0,1,0,0,1,0,0,0,1,0,0,
Dallas Dhu,0,1,1,0,0,0,0,1,0,0,0,1,
Dalmore,0,0,1,0,0,0,1,0,0,1,0,0,
Dalwhinnie,1,1,0,0,0,1,0,0,1,0,0,0,
Deanston,0,0,1,0,1,1,0,0,0,0,0,0,
Dufftown,1,1,1,0,0,1,0,0,0,0,0,1,
Edradour,0,1,1,0,0,0,1,0,0,1,1,0,
Fettercair,1,0,1,1,0,0,1,0,0,0,0,0,
Glen  Alby,0,1,0,1,0,1,0,0,0,1,0,0,
Glenallach,1,0,1,0,0,0,0,0,0,0,0,0,
Glenburgie,0,0,0,0,0,1,1,1,0,0,0,0,
Glencadam,0,1,0,0,0,0,1,0,0,0,0,0,
Glen Dever,1,0,1,0,1,0,0,0,0,1,0,0,
Glendronac,0,0,1,0,0,1,0,0,0,1,0,0,
Glendullan,1,0,1,0,0,0,1,0,0,1,0,0,
Glen Elgin,0,1,0,0,0,0,1,0,0,0,0,0,
Glenesk,1,0,1,0,0,1,0,0,0,0,0,0,
Glenfarcla,0,1,1,0,0,0,0,0,0,1,0,0,
Glenfiddic,1,0,1,1,1,0,1,0,0,0,0,0,
Glen Gario,1,1,0,0,0,0,0,0,0,0,0,0,
Glenglassa,0,0,0,0,1,0,0,1,0,0,0,0,
Glengoyne,0,1,0,0,1,0,1,0,0,1,0,0,
Glen Grant,0,0,1,0,0,1,0,0,0,0,0,0,
Glen Keith,0,1,0,1,0,1,0,1,0,0,0,0,
Glenkinchi,1,1,1,0,0,0,0,1,0,0,0,0,
