,soft,med,full,round,smooth,light,firm,oily
Aberfeldy,1,1,0,0,0,0,0,0
Aberlour,1,1,1,1,1,0,0,0
Ardberg,0,1,1,0,0,1,1,0
Ardmore,0,0,1,0,0,0,0,0
Auchentosh,1,0,0,0,0,0,0,0
Aultmore,0,0,0,0,0,0,1,0
Balblair,0,0,0,0,0,1,0,0
Balmenach,1,1,0,0,1,1,0,0
Balvenie,0,1,0,0,0,0,0,0
Banff,0,1,0,0,0,0,0,0
Ben Nevis,0,0,0,0,0,0,1,1
Benriach,0,1,0,0,0,1,0,0
Benrinnes,0,1,0,1,1,0,1,0
Benromach,0,1,0,0,0,0,0,0
Bladnoch,0,0,0,0,0,1,1,0
Blair Atho,0,1,0,0,0,1,0,0
Bowmore,0,1,0,0,0,1,0,0
Brackla,0,1,1,0,0,0,0,0
Bruichladd,0,0,0,0,1,1,1,0
Bunnahabha,0,1,0,0,0,1,1,0
Caol Ila,0,0,0,0,0,1,1,1
Caperdonic,0,1,0,0,0,1,0,0
Cardhu,0,0,0,0,1,1,0,0
Clynelish,0,0,1,0,0,0,0,1
Coleburn,0,0,0,0,0,1,0,1
Convalmore,0,1,1,0,0,0,0,0
Cragganmor,0,1,0,0,1,1,1,0
Craigellac,0,1,0,0,0,0,0,0
Dailuaine,0,1,1,0,0,0,0,0
Dallas Dhu,0,0,1,0,0,0,0,0
Dalmore,1,1,1,0,0,0,0,0
Dalwhinnie,0,0,0,0,0,0,1,1
Deanston,0,0,0,0,1,1,0,0
Dufftown,0,1,0,1,0,1,1,1
Edradour,0,0,0,0,0,1,0,0
Fettercair,0,0,0,0,1,1,0,0
Glen  Alby,0,1,0,1,0,1,0,0
Glenallach,0,0,0,0,0,1,1,0
Glenburgie,0,0,0,0,1,1,0,1
Glencadam,0,0,1,0,0,0,0,0
Glen Dever,0,1,0,0,1,1,0,0
Glendronac,0,1,1,0,1,0,0,1
Glendullan,0,1,1,0,1,0,1,0
Glen Elgin,1,1,0,0,0,1,0,0
Glenesk,1,1,0,0,1,1,0,0
Glenfarcla,0,0,0,0,0,0,1,0
Glenfiddic,0,0,0,0,1,1,1,0
Glen Gario,0,1,0,0,0,0,1,0
Glenglassa,0,0,0,0,1,1,1,0
Glengoyne,0,1,0,1,1,1,0,0
Glen Grant,0,1,0,0,0,1,0,0
Glen Keith,0,1,1,0,0,0,0,0
Glenkinchi,0,1,0,0,0,1,0,1
Glenlivet,0,1,0,0,1,1,1,0
Glenlochy,0,1,0,0,0,1,1,1
Glenlossie,0,1,0,1,1,1,0,0
Glen Mhor,1,0,0,0,0,1,0,0
Glenmorang,0,1,0,0,0,1,0,1
Glen Moray,0,0,0,0,1,1,1,0
Glen Ordie,0,1,1,0,1,0,0,0
Glenrothes,0,1,1,0,1,0,0,0
Glen Scoti,0,1,0,1,1,1,0,0
Glen Spey,0,1,0,0,0,1,0,0
Glentauche,0,0,0,0,1,1,0,0
Glenturret,1,0,0,0,0,0,1,0
Glenugie,1,1,0,0,1,0,0,1
Glenury Ro,0,1,0,0,0,1,1,0
Highland P,0,1,0,0,1,0,0,0
Imperial,1,1,1,0,0,0,0,0
Inchgower,0,1,0,0,1,0,0,0
Inchmurrin,0,0,0,1,0,1,0,1
Inverleven,0,0,1,1,0,1,0,0
Jura,1,0,0,0,0,1,0,0
Kinclaith,1,0,0,0,0,1,0,0
Knockando,0,0,0,0,1,1,0,0
Knockdhu,1,1,0,0,0,0,0,1
Ladyburn,1,0,0,0,0,1,0,0
Lagavulin,0,0,1,1,0,0,0,1
Laphroaig,0,1,0,0,0,0,0,1
Linkwood,0,1,0,1,0,0,0,0
Littlemill,1,1,0,0,0,1,0,0
Lochnagar,0,1,1,0,1,0,0,0
Lochside,1,1,0,0,1,0,0,0
Longmorn,0,0,0,0,1,0,1,0
Macallan,0,0,1,0,0,0,0,0
Millburn,0,0,1,0,1,0,0,0
Miltonduff,0,1,0,0,1,0,1,0
Mortlach,0,1,1,0,0,0,0,0
North Port,0,1,0,0,0,1,0,0
Oban,0,1,1,0,1,0,1,0
Port Ellen,0,1,0,0,1,0,0,0
Pulteney,0,0,0,0,0,1,1,0
Rosebank,0,0,0,0,1,1,0,0
Saint Magd,0,1,0,0,1,1,0,0
Scapa,0,1,0,0,0,0,0,0
Singleton,0,1,0,0,1,0,0,0
Speyburn,0,0,0,0,1,0,0,0
Springbank,0,1,0,1,1,1,0,0
Longrow,0,1,0,0,0,0,0,1
Strathisla,0,1,0,0,0,0,1,0
Talisker,0,0,1,0,0,0,0,1
Tamdhu,0,1,0,1,0,1,0,0
Tamnavulin,0,0,0,0,1,1,0,0
Teaninich,1,1,0,0,0,0,0,0
Tobermory,1,1,0,0,0,0,0,0
Tomatin,1,1,0,0,1,0,0,0
Tomintoul,1,0,0,0,1,1,0,0
Tormore,0,1,1,0,1,0,0,0
Tullibardi,0,1,0,0,1,0,1,0
