,full,dry,warm,big,light,smooth,clean,fruit,grass,smoke,sweet,spice,oil,salt,arome,ling,long,very,quick
Aberfeldy,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Aberlour,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Ardberg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ardmore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auchentosh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aultmore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balblair,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Balmenach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Balvenie,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Banff,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ben Nevis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Benriach,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Benrinnes,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Benromach,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bladnoch,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blair Atho,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bowmore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Brackla,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bruichladd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bunnahabha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caol Ila,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Caperdonic,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Cardhu,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
Clynelish,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Coleburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
