Subject,Grain,Husk,Green,Vegetable,Earthy,Wood,Spices,Roasted Flavors,Malty,Nuts,Sweet Wine,Spirits,Microbiological,Technological,Chemical,Basic Taste,Trigeminal,Blossom,Stone Fruit,Pipfruit,Citrus,Exotic,Dried Fruit,Order,Color
Akashi,0,0,0,0,1,3,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.1
Askaig,0,2,0,0,4,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
Aultmore,0,1,3,3,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,1.1
Balvenie ,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,4,0,3,1,10,0.6
Bunnahabhain,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6
Dalwhinnie,0,0,0,1,0,0,4,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,8,0.5
Glenmorangie Tarlogan,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,3,3,1,0,0,7,1.1
Glenmorangie Tayne,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,3,0,4,0,0,0,0,0,3,0.9
Method&Madness,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,4,0,4,1.2
Nikka,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0.7
