Subject,Grain,Husk,Green,Vegetable,Earthy,Wood,Spices,Roasted Flavors,Malty,Nuts,Sweet Wine,Spirits,Microbiological,Technological,Chemical,Basic Taste,Trigeminal,Blossom,Stone Fruit,Pipfruit,Citrus,Exotic,Dried Fruit,Color,Order
Akashi,2,0,4,0,0,0,2,1,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1.4,3
Askaig,2,0,0,0,4,0,3,0,3,0,0,0,0,0,2,4,0,2,0,3,0,0,0,1.1,4
Aultmore,2,0,5,0,4,4,0,0,0,0,0,0,0,0,1,3,0,2,0,2,0,0,2,1.3,9
Balvenie,1,0,0,0,1,4,0,1,0,2,0,2,0,0,0,3,4,0,0,2,0,2,0,1.5,2
Bunnahabhain,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1.2,1
Dalwhinnie,3,0,2,0,0,0,3,2,2,1,0,0,0,0,2,4,5,0,2,0,0,0,1,1.6,7
Glenmorangie Tarlogan,2,0,0,0,2,1,0,2,4,2,2,1,0,2,0,4,0,4,0,0,0,2,2,1.5,8
Glenmorangie Tayne,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,4,4,3,0,2,0,0,0,1.6,6
Method&Madness,3,0,0,1,0,2,2,0,0,0,0,2,0,0,0,3,2,0,0,1,2,2,0,1.4,5
Nikka,3,1,2,2,2,2,3,0,4,0,0,0,0,0,0,2,3,3,2,0,0,1,0,1.3,10
