Subject,Grain,Husk,Green,Vegetable,Earthy,Wood,Spices,Roasted Flavors,Malty,Nuts,Sweet Wine,Spirits,Microbiological,Technological,Chemical,Basic Taste,Trigeminal,Blossom,Stone Fruit,Pipfruit,Citrus,Exotic,Dried Fruit,Color,Order
Aultmore,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,NA
Akashi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.1,NA
Method&Madness,1,1,2,0,1,3,2,1,0,0,3,2,0,3,0,0,0,4,5,4,3,4,3,0.8,NA
Glenmorangie,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,2,1,0,1.3,NA
Glenmorangie,1,1,0,0,0,2,0,0,0,5,4,0,0,0,0,0,0,0,2,1,1,0,3,1.1,NA
Akashi,3,2,0,0,3,4,2,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1.1,NA
Bunnahabhain,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1.2,NA
Balvenie,3,2,0,0,2,2,2,1,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,1.1,NA
Askaig,4,0,0,0,2,0,0,0,0,1,0,0,0,0,4,5,0,0,0,0,0,0,0,1.3,NA
Nikka,0,0,0,0,2,0,4,0,0,0,3,2,0,0,0,0,0,0,2,4,3,0,0,1.4,NA
Dalwhinnie,3,1,1,0,2,2,3,3,2,2,2,3,0,2,1,2,0,3,2,0,2,1,2,1,NA
Askaig,2,0,0,1,5,3,2,3,3,2,4,3,0,0,0,3,0,4,2,1,0,0,0,NA,NA
