Subject,Grain,Husk,Green,Vegetable,Earthy,Wood,Spices,Roasted Flavors,Malty,Nuts,Sweet Wine,Spirits,Microbiological,Technological,Chemical,Basic Taste,Trigeminal,Blossom,Stone Fruit,Pipfruit,Citrus,Exotic,Dried Fruit,Color,Order
Akashi,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,2,0,0,1.1,7
Askaig,2,0,0,0,2,0,1,0,0,3,0,1,2,0,0,0,0,4,0,0,0,4,0,1.1,5
Aultmore,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,5,0,0,0,4,0,1.1,2
Balvenie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1.1,10
Bunnahabhain,0,0,0,0,0,0,3,1,0,1,2,0,0,0,0,3,1,3,0,0,2,0,0,1.1,4
Dalwhinnie,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1.1,8
Glenmorangie Tarlogan,0,0,0,0,0,0,3,0,0,2,3,0,0,0,3,2,0,2,0,0,0,0,0,1.1,3
Glenmorangie Tayne,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1,9
Method&Madness,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,6
Nikka,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,1.1,1
